image,noise,filter,fixed_pixels,new_errors
lena_gray,salt,median,1503,168940
lena_gray,salt,mean,38,225407
lena_gray,salt,alpha,1076,214019
lena_gray,salt,contra,13,225812
lena_gray,pepper,median,1588,168568
lena_gray,pepper,mean,92,224812
lena_gray,pepper,alpha,1059,214874
lena_gray,pepper,contra,1570,214140
lena_gray,sp,median,3283,160244
lena_gray,sp,mean,271,220224
lena_gray,sp,alpha,2019,205645
lena_gray,sp,contra,1104,213793
lena_gray,gauss,median,11932,4768
lena_gray,gauss,mean,16033,6384
lena_gray,gauss,alpha,15673,6414
lena_gray,gauss,contra,14299,6413
lena_gray,uniform,median,12159,4542
lena_gray,uniform,mean,19048,6019
lena_gray,uniform,alpha,17469,6061
lena_gray,uniform,contra,18235,5998
gray,salt,median,62734,612409
gray,salt,mean,127,1467050
gray,salt,alpha,36503,1138545
gray,salt,contra,30,1503513
gray,pepper,median,62694,613724
gray,pepper,mean,254,1465871
gray,pepper,alpha,30721,1188425
gray,pepper,contra,48650,1187775
gray,sp,median,126422,594214
gray,sp,mean,2743,1609260
gray,sp,alpha,63931,1167780
gray,sp,contra,32423,1431048
gray,gauss,median,119074,40958
gray,gauss,mean,159664,55582
gray,gauss,alpha,154679,55519
gray,gauss,contra,145138,55822
gray,uniform,median,115584,38712
gray,uniform,mean,197883,51234
gray,uniform,alpha,174999,51799
gray,uniform,contra,191404,51501
grayscale_images_python_1-jpg,salt,median,6216,345935
grayscale_images_python_1-jpg,salt,mean,176,493986
grayscale_images_python_1-jpg,salt,alpha,3789,459383
grayscale_images_python_1-jpg,salt,contra,60,496798
grayscale_images_python_1-jpg,pepper,median,6041,346762
grayscale_images_python_1-jpg,pepper,mean,196,492459
grayscale_images_python_1-jpg,pepper,alpha,3250,462678
grayscale_images_python_1-jpg,pepper,contra,5153,461962
grayscale_images_python_1-jpg,sp,median,12076,329792
grayscale_images_python_1-jpg,sp,mean,641,488971
grayscale_images_python_1-jpg,sp,alpha,6472,444248
grayscale_images_python_1-jpg,sp,contra,3397,470698
grayscale_images_python_1-jpg,gauss,median,24887,12516
grayscale_images_python_1-jpg,gauss,mean,31581,17648
grayscale_images_python_1-jpg,gauss,alpha,31177,17441
grayscale_images_python_1-jpg,gauss,contra,27409,17745
grayscale_images_python_1-jpg,uniform,median,25366,11996
grayscale_images_python_1-jpg,uniform,mean,36802,16743
grayscale_images_python_1-jpg,uniform,alpha,34354,16543
grayscale_images_python_1-jpg,uniform,contra,33816,16840
rose-grayscale,salt,median,6594,71340
rose-grayscale,salt,mean,57,180126
rose-grayscale,salt,alpha,4261,140761
rose-grayscale,salt,contra,34,183047
rose-grayscale,pepper,median,6570,71936
rose-grayscale,pepper,mean,13,180326
rose-grayscale,pepper,alpha,3124,150174
rose-grayscale,pepper,contra,5717,146432
rose-grayscale,sp,median,13385,72542
rose-grayscale,sp,mean,128,196660
rose-grayscale,sp,alpha,7087,146513
rose-grayscale,sp,contra,3700,174549
rose-grayscale,gauss,median,14172,4765
rose-grayscale,gauss,mean,19251,6617
rose-grayscale,gauss,alpha,18901,6640
rose-grayscale,gauss,contra,15902,6664
rose-grayscale,uniform,median,13803,4639
rose-grayscale,uniform,mean,24176,6105
rose-grayscale,uniform,alpha,21311,6205
rose-grayscale,uniform,contra,21720,6181
